ITEM;IDTIPOFT2;IDFAMILIA;ESTADOFT_DETEC;TEXTOESTADOFT_DETEC;STATUSFT;TEXTOSTATUSFT;IDCLIENTE;REFERENCIA;CODIGOREFERENCIA;TIPOABNT;EXIGELAUDO;GRAMATURA;COLUNAMINIMO;COBBINTMAXIMO;COMPRESSAO;COMPOSICAO;LARGURA;REFILOLARGURA;COMPRIMENTO;REFILOCOMPRIMENTO;MULTLARG;MULTCOMP;ARRANJO;REFUGOCLIENTE;VINCOLARG1;VINCOLARG2;VINCOLARG3;VINCOCOMP1;VINCOCOMP2;VINCOCOMP3;VINCOCOMP4;VINCOCOMP5;LAP;PROLONGLAP;LAPNOCOMP;LAPINTERNO;REFILADO;RESINAINTERNA;AMARRADO;PALETIZADO;PACOTESLARGURA;PACOTESCOMPRIMENTO;PACOTESALTURA;PECASPORPACOTE;PECASPORPALETE;PACOTESPORPALETE;UNIDADESPORPALETE;ESPELHO;FILME;FACA;COR1;CONSUMOCOR1;COR2;CONSUMOCOR2;COR3;CONSUMOCOR3;COR4;CONSUMOCOR4;NRCORES;LARGURAINTERNA;COMPRIMENTOINTERNO;ALTURAINTERNA;LARGPECA;COMPPECA;COMPPACOTE;LARGPACOTE;ALTURAPACOTE;COMMPALETEFECHADO;LARGPALETEFECHADO;ALTURAPALETEFECHADO;PESOCAIXA;PATHFIGURADOLASTRO;IDPALETE;AREABRUTAPECACOMREFILOS;AREABRUTAPECA;AREALIQUIDAPECA;AREABRUTACHAPA;AREALIQUIDACHAPA;VOLUMEPALETEFECHADOM3;VOLUMEPACOTEFECHADOM3
594231;;7.0;4;Desativada;4;Desativada (Faca) Desativada (DETEC);8694;128522 - FUNDO AUT. MI;;19;1;578.0;7.0;15.0;;A12S-B;722;15;1900;10;1;3;3;0.99;;;;;;;;;0;0;-1;-1;1;1;1;1;1.0;2.0;26.0;25.0;1300.0;52.0;1300.0;1;1;5623;;;;;;;PRETO;216.0;1;373.0;444.0;126.0;707.0;630.0;707.0;630.0;72.0;1420.0;680.0;2022.0;254.0;12.bmp;1.0;0.45726666666666665;0.44541000000000003;0.441000441;1.3718;1.33623;1.952443;0.03207
515720;;;3;Suspenso;3;Suspensa (Vendas) Suspensa (DETEC);9603;CHAPA -  1145 x 520  ;;CH;0;;;;;K1G-B;520;0;1145;0;1;1;1;0.0;;;;;;;;;0;0;-1;-1;1;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;1;;;;;;;;;;0;520.0;1145.0;0.0;520.0;1145.0;;;;;;;;;37.0;0.5954;0.5954;0.5954;0.5954;0.5954;;
768630;;19.0;2;Ativa;2;Ativa (DETEC);1368;Caixa 72;72;CN;1;437.0;5.0;30.0;;A4-D;871;0;1576;0;1;1;1;1.227365709523449;156.0;559.0;156.0;30.0;312.0;462.0;312.0;460.0;30;0;0;1;1;0;1;1;1.0;2.0;9.0;30.0;540.0;18.0;540.0;1;1;;AMARELO 2;1338.0;;;AZUL 280;2694.0;PRETO;226.0;3;310.0;460.0;555.0;871.0;1576.0;774.0;871.0;130.0;1548.0;900.0;1320.0;593.0;12.bmp;54.0;1.372696;1.372696;1.355848;1.372696;1.372696;1.839024;0.08764
452790;;19.0;4;Desativada;4;Desativada (Faca) Desativada (DETEC);8376;48 x 58 Cm Strong Verde;;CN;0;481.0;6.0;;;B10-B;428;0;1645;10;1;1;1;2.0;156.0;116.0;156.0;30.0;311.0;493.0;311.0;490.0;30;0;0;1;1;0;1;1;1.0;3.0;8.0;25.0;600.0;24.0;600.0;1;1;3988;AZUL 276;;VERDE 317;;;;;;2;308.0;490.0;110.0;428.0;1635.0;;;;1284.0;804.0;1290.0;329.0;;9.0;0.70406;0.69978;0.6857844;0.70406;0.69978;1.331713;
532080;;0.0;4;Desativada;4;Desativada (DETEC);8221;01 Garrafa;;20;0;;;;;B10-B;828;15;1232;10;1;2;2;34.9;;;;;;;;;0;0;-1;-1;1;0;1;1;1.0;2.0;8.0;25.0;400.0;16.0;400.0;1;1;4855;;;;;;;;;0;142.0;343.0;103.0;813.0;611.0;;;;1222.0;813.0;1290.0;;;9.0;0.510048;0.496743;0.323379693;1.020096;0.993486;1.281597;
772162;;39.0;3;Suspenso;3;Suspensa (Vendas) Suspensa (DETEC);13380;BEM+ Berry - Limão - 300ml x 12und (Divisórias);;DIV;0;;;;;A1-B;175;0;1070;0;1;1;1;2.1;62.0;62.0;62.0;63.0;63.0;63.0;;;0;0;-1;-1;1;0;1;1;3.0;2.0;6.0;20.0;720.0;36.0;720.0;1;1;;;;;;;;;;0;200.0;260.0;175.0;250.0;190.0;420.0;313.0;175.0;1252.0;900.0;1240.0;;;240.0;0.18725;0.18725;0.18331775;0.18725;0.18725;1.397232;0.023006
492220;;;3;Suspenso;4;Desativada (Faca) Suspensa (Vendas) Suspensa (DETEC);9774;977708-TFA-17-TPA-MM-V-01-PERDIX.;977708;16;1;461.0;4.8;40.0;;A6S-B;1021;15;1144;10;1;2;2;14.0;;;;;;;;;0;0;-1;-1;1;0;1;1;1.0;2.0;23.0;25.0;1150.0;46.0;1150.0;1;1;3316 ;VERMELHO 485;;;;;;;;1;295.0;430.0;136.0;1006.0;567.0;;;;1200.0;1007.0;1800.0;226.0;;24.0;0.584012;0.570402;0.49054571999999996;1.168024;1.140804;2.17512;
255500;;;4;Desativada;4;Desativada (DETEC);10638;02;;CN;0;;;;;A2-C;1014;0;2044;0;1;1;1;2.0;253.0;508.0;253.0;30.0;504.0;504.0;504.0;502.0;30;0;0;1;1;0;1;0;1.0;1.0;9.0;25.0;225.0;9.0;225.0;0;0;;PRETO;;;;;;;;1;500.0;500.0;500.0;1014.0;2044.0;;;;;;;;;37.0;2.072616;2.072616;2.03116368;2.072616;2.072616;;
680160;;2.0;2;Ativa;4;Desativada (Faca) Desativada (Clichê) Suspensa (Vendas) Ativa (DETEC);8723;Salsicha Congelada Exportação ( TP );;16;1;444.0;5.5;;;A4S-B;974;15;1038;10;1;2;2;16.4;;;;;;;;;0;0;-1;-1;1;0;1;1;2.0;1.0;24.0;25.0;1200.0;48.0;1200.0;1;1;6708;;;;;;;VERMELHO 10;600.0;1;260.0;435.0;118.0;959.0;514.0;959.0;514.0;72.0;1080.0;970.0;1950.0;182.0;21.bmp;21.0;0.505506;0.492926;0.412086136;1.011012;0.985852;2.04282;0.035491
630700;;19.0;1;Desenvolvimento;3;Suspensa (Vendas) Desenvolvimento (DETEC);10790;Caixa Normal (350 x 290 x 230);;CN;0;;;;;K1G-D;526;0;1316;0;1;1;1;2.0;146.0;234.0;146.0;30.0;292.0;352.0;292.0;350.0;30;0;0;1;1;0;1;1;1.0;1.0;1.0;25.0;25.0;1.0;25.0;1;0;;;;;;;;;;0;290.0;350.0;230.0;526.0;1316.0;;;;1.0;1.0;1.0;;23.bmp;54.0;0.692216;0.692216;0.67837168;0.692216;0.692216;0.0;
