PEDIDO,ITEM,IDCLIENTE,ALTURAINTERNA_diff,ALTURAINTERNA_diff_pct,ALTURAPACOTE_diff,ALTURAPACOTE_diff_pct,ALTURAPALETEFECHADO_diff,ALTURAPALETEFECHADO_diff_pct,AMARRADO_diff,AMARRADO_diff_pct,AREABRUTACHAPA_diff,AREABRUTACHAPA_diff_pct,AREABRUTAPECA_diff,AREABRUTAPECA_diff_pct,AREABRUTAPECACOMREFILOS_diff,AREABRUTAPECACOMREFILOS_diff_pct,AREALIQUIDACHAPA_diff,AREALIQUIDACHAPA_diff_pct,AREALIQUIDAPECA_diff,AREALIQUIDAPECA_diff_pct,ARRANJO_diff,ARRANJO_diff_pct,COBBINTMAXIMO_diff,COBBINTMAXIMO_diff_pct,CODIGOREFERENCIA_diff,CODIGOREFERENCIA_diff_pct,COLUNAMINIMO_diff,COLUNAMINIMO_diff_pct,COMMPALETEFECHADO_diff,COMMPALETEFECHADO_diff_pct,COMPPACOTE_diff,COMPPACOTE_diff_pct,COMPPECA_diff,COMPPECA_diff_pct,COMPRESSAO_diff,COMPRESSAO_diff_pct,COMPRIMENTO_diff,COMPRIMENTO_diff_pct,COMPRIMENTOINTERNO_diff,COMPRIMENTOINTERNO_diff_pct,CONSUMOCOR1_diff,CONSUMOCOR1_diff_pct,CONSUMOCOR2_diff,CONSUMOCOR2_diff_pct,CONSUMOCOR3_diff,CONSUMOCOR3_diff_pct,CONSUMOCOR4_diff,CONSUMOCOR4_diff_pct,ESPELHO_diff,ESPELHO_diff_pct,EXIGELAUDO_diff,EXIGELAUDO_diff_pct,FACA_diff,FACA_diff_pct,FILME_diff,FILME_diff_pct,GRAMATURA_diff,GRAMATURA_diff_pct,IDPALETE_diff,IDPALETE_diff_pct,IDTIPOFT2_diff,IDTIPOFT2_diff_pct,LAP_diff,LAP_diff_pct,LAPINTERNO_diff,LAPINTERNO_diff_pct,LAPNOCOMP_diff,LAPNOCOMP_diff_pct,LARGPACOTE_diff,LARGPACOTE_diff_pct,LARGPALETEFECHADO_diff,LARGPALETEFECHADO_diff_pct,LARGPECA_diff,LARGPECA_diff_pct,LARGURA_diff,LARGURA_diff_pct,LARGURAINTERNA_diff,LARGURAINTERNA_diff_pct,MULTCOMP_diff,MULTCOMP_diff_pct,MULTLARG_diff,MULTLARG_diff_pct,NRCORES_diff,NRCORES_diff_pct,PACOTESALTURA_diff,PACOTESALTURA_diff_pct,PACOTESLARGURA_diff,PACOTESLARGURA_diff_pct,PACOTESPORPALETE_diff,PACOTESPORPALETE_diff_pct,PALETIZADO_diff,PALETIZADO_diff_pct,PECASPORPACOTE_diff,PECASPORPACOTE_diff_pct,PECASPORPALETE_diff,PECASPORPALETE_diff_pct,PESOCAIXA_diff,PESOCAIXA_diff_pct,PROLONGLAP_diff,PROLONGLAP_diff_pct,REFERENCIA_diff,REFERENCIA_diff_pct,REFILADO_diff,REFILADO_diff_pct,REFILOCOMPRIMENTO_diff,REFILOCOMPRIMENTO_diff_pct,REFILOLARGURA_diff,REFILOLARGURA_diff_pct,REFUGOCLIENTE_diff,REFUGOCLIENTE_diff_pct,RESINAINTERNA_diff,RESINAINTERNA_diff_pct,TIPOABNT_diff,TIPOABNT_diff_pct,UNIDADESPORPALETE_diff,UNIDADESPORPALETE_diff_pct,VINCOCOMP1_diff,VINCOCOMP1_diff_pct,VINCOCOMP2_diff,VINCOCOMP2_diff_pct,VINCOCOMP3_diff,VINCOCOMP3_diff_pct,VINCOCOMP4_diff,VINCOCOMP4_diff_pct,VINCOCOMP5_diff,VINCOCOMP5_diff_pct,VINCOLARG1_diff,VINCOLARG1_diff_pct,VINCOLARG2_diff,VINCOLARG2_diff_pct,VINCOLARG3_diff,VINCOLARG3_diff_pct,VOLUMEPACOTEFECHADOM3_diff,VOLUMEPACOTEFECHADOM3_diff_pct,VOLUMEPALETEFECHADOM3_diff,VOLUMEPALETEFECHADOM3_diff_pct
PRD056258,721911,6218,0.0,0.0,-43.0,-28.666666666666668,10.0,0.8,0.0,0.0,0.0204460000000001,1.228002738771648,0.0060779999999999,0.7456753772543144,0.010223,1.228002738771648,0.0121559999999998,0.7456753772543144,0.0069663599999998,0.9058433826235474,0.0,0.0,-6.0,-33.33333333333333,0.0,0.0,-2.0,-26.666666666666668,0.0,0.0,11.0,1.1133603238866396,-3.0,-0.3636363636363636,,,-6.0,-0.3614457831325301,0.0,0.0,-33.0,-16.751269035532996,-1235.0,-89.4927536231884,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-50.0,-73.0,-14.37007874015748,-199.0,-76.53846153846153,,,0.0,,0.0,-0.0,0.0,-0.0,-3.0,-0.3636363636363636,0.0,0.0,11.0,1.1133603238866396,16.0,1.5952143569292123,20.0,6.779661016949152,0.0,0.0,0.0,0.0,1.0,50.0,3.0,42.85714285714285,0.0,0.0,3.0,42.85714285714285,0.0,0.0,0.0,0.0,150.0,42.85714285714285,-53.0,-13.554987212276217,0.0,,,,0.0,0.0,0.0,0.0,5.0,33.33333333333333,-0.1500000000000003,-2.6548672566371745,0.0,0.0,0.0,0.0,150.0,42.85714285714285,,,,,,,,,,,,,,,,,-0.034399,-28.13478918742077,0.0084999999999999,0.7999999999999955
682812-2,857561,12809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01522,0.9705196680083056,0.0081299999999999,1.5923566878980833,0.0050733333333333,0.9705196680083128,0.0243899999999999,1.5923566878980833,0.0080324399999999,1.5923566878980728,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-7.142857142857142,0.0,0.0,185.0,29.458598726114648,10.0,1.5923566878980893,,,30.0,1.583949313621964,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,-31.0,-6.031128404669261,-218.0,-95.19650655021834,,,0.0,,0.0,-0.0,0.0,-0.0,-175.0,-21.52521525215252,0.0,0.0,0.0,0.0,-5.0,-0.6038647342995169,10.0,2.840909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,-4.182509505703422,0.0,,,,0.0,0.0,0.0,0.0,-5.0,-33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.000813,1.5923691632717043,0.0,0.0
PRD074849,783301,1172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,22.568807339449545,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-195.0,-81.9327731092437,,,0.0,,0.0,-0.0,0.0,-0.0,-123.0,-18.41317365269461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
665537-4,845531,10117,0.0,0.0,0.0,0.0,90.0,4.972375690607735,0.0,0.0,-0.03437,-2.16900164079263,0.0,0.0,-0.017185,-2.16900164079263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,11.650485436893204,0.0,0.0,,,-10.0,-0.5995203836930456,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,5.0,1.1210762331838564,0.0,0.0,,,0.0,,0.0,-0.0,0.0,-0.0,-96.0,-10.434782608695652,0.0,0.0,0.0,0.0,-15.0,-1.5789473684210529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.3478260869565215,0.0,0.0,1.0,4.3478260869565215,0.0,0.0,0.0,0.0,25.0,4.3478260869565215,5.0,1.5060240963855422,0.0,,,,0.0,0.0,-10.0,-50.0,-15.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.3478260869565215,,,,,,,,,,,,,,,,,0.0,0.0,0.0765,4.972375690607736
720301-4,727682,1442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
PRD074894,850091,9642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03959,-1.853811575201349,0.0,0.0,-0.019795,-1.853811575201349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,16.382978723404253,0.0,0.0,,,-10.0,-0.5263157894736842,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,7.0,1.037037037037037,0.0,0.0,,,0.0,,0.0,-0.0,0.0,-0.0,-154.0,-14.076782449725778,0.0,0.0,0.0,0.0,-15.0,-1.334519572953737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.93603744149766,0.0,,,,0.0,0.0,-10.0,-50.0,-15.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
676831-2,CHADC122672,9505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605231-1,796960,13791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042120000000001,0.2467105263157956,0.0,0.0,0.002106,0.2467105263157956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-653.0,-67.4586776859504,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-217.0,-95.59471365638768,,,0.0,,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2467105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
611547-7,CHADC215596,9505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590969-10,781490,9775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099,0.8591065292096236,0.0,0.0,0.0033,0.8591065292096285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-121.0,-60.19900497512438,,,-66.0,-24.719101123595504,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.859106529209622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,5.0,33.33333333333333,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
